순위,책이름,저자 및 출판,가격
76,2025 제16회 젊은작가상 수상작품집,"백온유, 강보라, 서장원, 성해나, 성혜령 저 외 2명
                                        
정보 더 보기/감추기



백온유
강보라
서장원
성해나
성혜령
이희주
현호정 | 백온유
강보라
서장원
성해나
성혜령
이희주
현호정",6930
77,수능을 좌우하는 중학 국어 공부법,김민정 저 | 문학동네,18900
78,중등 필독 신문,"이현옥, 이현주 저 | 노르웨이숲",16020
79,마음의 기술,"안-엘렌 클레르, 뱅상 트리부 저/구영옥 역 | 체인지업",18900
80,동공이 약사의 알찬 약국,동공이 약사 저 | 상상스퀘어,18000
81,고래눈이 내리다,김보영 저 | 미래의창,15120
82,어린이를 위한 철학자의 말,김종원 글 | 래빗홀,17010
83,홍학의 자리,정해연 저 | 윌마,12600
84,참을 수 없는 존재의 가벼움,밀란 쿤데라 저/이재룡 역 | 엘릭시르,15300
85,이처럼 사소한 것들,클레어 키건 저/홍한별 역 | 민음사,12420
86,파리 잡기 대회,실비아 맥니콜 저 / 최윤정 역 | 다산책방,10800
87,시든 꽃에 눈물을 1~2 세트,개 글그림 | 책과콩나무,28800
88,허영만의 주식 타짜 ― 슈퍼개미 이세무사,허영만 글그림 | 네이버웹툰유한회사,15120
89,부서지는 아이들,애비게일 슈라이어 저/이수경 역 | 가디언,19800
90,식탐 해방,저드슨 브루어 저/김보은 역 | 웅진지식하우스,17820
91,세이노의 가르침,세이노(SayNo) 저 | 푸른숲,6480
92,"책문, 이 시대가 묻는다",김태완 저 | 데이원,19800
93,손실은 짧게 수익은 길게,깡토 저 | 현자의마을,22500
94,여름 피치 스파클링,차정은 저 | 이레미디어,10800
95,혼자서도 잘하는 첫 선 긋기,길벗놀이학습연구소 저/김희정 그림 | 다이브,6750
96,타키 포오 코믹 어드벤처 8,캐릭온TV 원저 / 안도감 글 / 김규태 그림 | 길벗스쿨,13050
97,"2025 큰별쌤 최태성의 별별한국사 기출 500제 한국사능력검정시험 심화(1,2,3급)",최태성 저 | 이투스북,17550
98,코스모스,칼 에드워드 세이건 저/홍승수 역 | 사이언스북스,17910
99,피를 마시는 새 출판 20주년 일러스트 특별 한정판 바둑판 미니어처 세트,이영도 저/백성민 그림 | 황금가지,234000
100,Go Go 카카오프렌즈 36 포르투갈,김미영 글/김정한 그림 | 아울북,15120
101,2025 이동기 영어 신경향 직전동형 모의고사 Vol.2,(주)이앤미래(이동기) 편저 | 지금(도서출판),13500
102,세상을 움직이는 놀라운 화학,"표트르 발치트, 마리아 샤라포바 저/리사 카진스카야 그림/이경아 역/이황기 감수 | 미디어숲",16920
103,흔한남매 과학 탐험대 14 화학 반응,"흔한남매 원저/김언정, 송은경 글/김덕영 그림/최진수 감수 | 주니어김영사",15120
104,부모의 어휘력을 위한 66일 필사 노트,김종원 저 | 카시오페아,19800
105,자유론,존 스튜어트 밀 저/박문재 역 | 현대지성,7920
106,해커스 일본어 첫걸음 : 일본어 기초 20일 독학 완성!,해커스 일본어연구소 저 | 해커스어학연구소,12510
107,마음에 힘이 되는 하루 한 문장 영어 필사,위혜정 저 | 센시오,19800
108,그릿 GRIT,김주환 저 | 인플루엔셜,16920
109,행동하지 않으면 인생은 바뀌지 않는다,브라이언 트레이시 저/정지현 역 | 현대지성,15210
110,읽으면서 바로 써먹는 어린이 초등 교과 어휘,한날 글그림 | 파란정원,11700
111,찾아봐 찾아봐 예쁜 말 미운 말,사이토 다카시 글/가와하라 미즈마루 그림/권남희 역 | 주니어RHK,12600
112,오가미 츠미키와 기일상 2 트리플 특전판,모리시타 미유 글그림 | 학산문화사,5400
113,돈의 심리학 (30만 부 기념 스페셜 에디션),모건 하우절 저/이지연 역 | 인플루엔셜,17820
114,영어로 문장 만들기 훈련 1차 임계점,유은하 저 | 사람in,19800
115,스위치온 다이어트 레시피북,"박용우, 김영아 저 | 루미너스",20700
116,혼자서도 잘하는 첫 숫자 쓰기 1,길벗놀이학습연구소 저 | 길벗스쿨,6750
117,2025 이유진 국어 화제의 모의고사 (봉투형),이유진 편저 | 고시동네,15300
118,초역 부처의 말 필사집,코이케 류노스케 저/박재현 역 | 포레스트북스,19800
119,당신은 언제나 괜찮다,이현수 저 | 북파머스,17820
120,거꾸로 읽는 세계사,유시민 저 | 돌베개,15750
