지역명,연도,월,전용면적,평당분양가격
서울,2015,10,모든면적,19275.3
서울,2015,10,60m²,18651.6
서울,2015,10,60m²~85m²,19410.6
서울,2015,10,85m²~102m²,18879.3
서울,2015,10,102m²~,19400.7
인천,2015,10,모든면적,10437.9
인천,2015,10,60m²,11510.4
인천,2015,10,60m²~85m²,10292.699999999999
인천,2015,10,85m²~102m²,11698.5
인천,2015,10,102m²~,11246.4
경기,2015,10,모든면적,10355.4
경기,2015,10,60m²,10315.8
경기,2015,10,60m²~85m²,10688.699999999999
경기,2015,10,85m²~102m²,11536.8
경기,2015,10,102m²~,12144.0
부산,2015,10,모든면적,10269.599999999999
부산,2015,10,60m²,9735.0
부산,2015,10,60m²~85m²,9896.699999999999
부산,2015,10,85m²~102m²,9758.1
부산,2015,10,102m²~,11550.0
대구,2015,10,모든면적,8850.6
대구,2015,10,60m²,8626.199999999999
대구,2015,10,60m²~85m²,8896.8
대구,2015,10,85m²~102m²,8438.1
대구,2015,10,102m²~,8573.4
광주,2015,10,모든면적,7986.0
광주,2015,10,60m²,7434.9
광주,2015,10,60m²~85m²,8048.7
광주,2015,10,85m²~102m²,
광주,2015,10,102m²~,
대전,2015,10,모든면적,8098.2
대전,2015,10,60m²,8530.5
대전,2015,10,60m²~85m²,8012.4
대전,2015,10,85m²~102m²,8121.299999999999
대전,2015,10,102m²~,
울산,2015,10,모든면적,10074.9
울산,2015,10,60m²,7992.599999999999
울산,2015,10,60m²~85m²,10032.0
울산,2015,10,85m²~102m²,9738.3
울산,2015,10,102m²~,8877.0
세종,2015,10,모든면적,8718.6
세종,2015,10,60m²,8487.6
세종,2015,10,60m²~85m²,8768.1
세종,2015,10,85m²~102m²,8725.199999999999
세종,2015,10,102m²~,8883.6
강원,2015,10,모든면적,7151.099999999999
강원,2015,10,60m²,7543.799999999999
강원,2015,10,60m²~85m²,7299.599999999999
강원,2015,10,85m²~102m²,6801.299999999999
강원,2015,10,102m²~,7164.299999999999
충북,2015,10,모든면적,6705.599999999999
충북,2015,10,60m²,6332.7
충북,2015,10,60m²~85m²,6708.9
충북,2015,10,85m²~102m²,6936.599999999999
충북,2015,10,102m²~,7817.7
충남,2015,10,모든면적,6926.7
충남,2015,10,60m²,7279.799999999999
충남,2015,10,60m²~85m²,6933.299999999999
충남,2015,10,85m²~102m²,9051.9
충남,2015,10,102m²~,8058.599999999999
전북,2015,10,모든면적,6778.2
전북,2015,10,60m²,7019.099999999999
전북,2015,10,60m²~85m²,6784.799999999999
전북,2015,10,85m²~102m²,7844.099999999999
전북,2015,10,102m²~,7425.0
전남,2015,10,모든면적,6352.5
전남,2015,10,60m²,6596.7
전남,2015,10,60m²~85m²,6342.599999999999
전남,2015,10,85m²~102m²,7464.599999999999
전남,2015,10,102m²~,7563.599999999999
경북,2015,10,모든면적,7088.4
경북,2015,10,60m²,7273.2
경북,2015,10,60m²~85m²,7078.5
경북,2015,10,85m²~102m²,7616.4
경북,2015,10,102m²~,7332.599999999999
경남,2015,10,모든면적,7560.299999999999
경남,2015,10,60m²,7388.7
경남,2015,10,60m²~85m²,7606.5
경남,2015,10,85m²~102m²,9537.0
경남,2015,10,102m²~,9946.199999999999
제주,2015,10,모든면적,7365.599999999999
제주,2015,10,60m²,
제주,2015,10,60m²~85m²,7342.5
제주,2015,10,85m²~102m²,8523.9
제주,2015,10,102m²~,8494.199999999999
서울,2015,11,모든면적,19965.0
서울,2015,11,60m²,20856.0
서울,2015,11,60m²~85m²,19681.2
서울,2015,11,85m²~102m²,23403.6
서울,2015,11,102m²~,21618.3
인천,2015,11,모든면적,10507.199999999999
인천,2015,11,60m²,10982.4
인천,2015,11,60m²~85m²,10292.699999999999
인천,2015,11,85m²~102m²,11698.5
인천,2015,11,102m²~,11246.4
경기,2015,11,모든면적,10223.4
경기,2015,11,60m²,10160.699999999999
경기,2015,11,60m²~85m²,10566.599999999999
경기,2015,11,85m²~102m²,11190.3
경기,2015,11,102m²~,12289.199999999999
부산,2015,11,모든면적,10332.3
부산,2015,11,60m²,9840.6
부산,2015,11,60m²~85m²,10022.1
부산,2015,11,85m²~102m²,9758.1
부산,2015,11,102m²~,12338.699999999999
대구,2015,11,모든면적,9071.699999999999
대구,2015,11,60m²,8259.9
대구,2015,11,60m²~85m²,9259.8
대구,2015,11,85m²~102m²,8438.1
대구,2015,11,102m²~,9051.9
광주,2015,11,모든면적,7999.2
광주,2015,11,60m²,7428.299999999999
광주,2015,11,60m²~85m²,8065.2
광주,2015,11,85m²~102m²,
광주,2015,11,102m²~,
대전,2015,11,모든면적,8098.2
대전,2015,11,60m²,8530.5
대전,2015,11,60m²~85m²,8012.4
대전,2015,11,85m²~102m²,8121.299999999999
대전,2015,11,102m²~,
울산,2015,11,모든면적,10041.9
울산,2015,11,60m²,8527.199999999999
울산,2015,11,60m²~85m²,10058.4
울산,2015,11,85m²~102m²,8787.9
울산,2015,11,102m²~,9484.199999999999
세종,2015,11,모든면적,8738.4
세종,2015,11,60m²,8487.6
세종,2015,11,60m²~85m²,8797.8
세종,2015,11,85m²~102m²,8725.199999999999
세종,2015,11,102m²~,9071.699999999999
강원,2015,11,모든면적,7164.299999999999
강원,2015,11,60m²,7563.599999999999
강원,2015,11,60m²~85m²,7236.9
강원,2015,11,85m²~102m²,6801.299999999999
강원,2015,11,102m²~,7164.299999999999
충북,2015,11,모든면적,6613.2
충북,2015,11,60m²,6339.299999999999
충북,2015,11,60m²~85m²,6649.5
충북,2015,11,85m²~102m²,6164.4
충북,2015,11,102m²~,7514.099999999999
충남,2015,11,모든면적,6930.0
충남,2015,11,60m²,7306.2
충남,2015,11,60m²~85m²,6946.5
충남,2015,11,85m²~102m²,8325.9
충남,2015,11,102m²~,8144.4
전북,2015,11,모든면적,6788.099999999999
전북,2015,11,60m²,7025.7
전북,2015,11,60m²~85m²,6788.099999999999
전북,2015,11,85m²~102m²,7844.099999999999
전북,2015,11,102m²~,7530.599999999999
전남,2015,11,모든면적,6299.7
전남,2015,11,60m²,6596.7
전남,2015,11,60m²~85m²,6289.799999999999
전남,2015,11,85m²~102m²,7464.599999999999
전남,2015,11,102m²~,7180.799999999999
경북,2015,11,모든면적,7227.0
경북,2015,11,60m²,7293.0
경북,2015,11,60m²~85m²,7213.799999999999
경북,2015,11,85m²~102m²,8302.8
경북,2015,11,102m²~,7821.0
경남,2015,11,모든면적,7583.4
경남,2015,11,60m²,7260.0
경남,2015,11,60m²~85m²,7662.599999999999
경남,2015,11,85m²~102m²,9834.0
경남,2015,11,102m²~,10041.9
제주,2015,11,모든면적,7365.599999999999
제주,2015,11,60m²,
제주,2015,11,60m²~85m²,7342.5
제주,2015,11,85m²~102m²,8523.9
제주,2015,11,102m²~,8494.199999999999
서울,2015,12,모든면적,19935.3
서울,2015,12,60m²,20859.3
서울,2015,12,60m²~85m²,19687.8
서울,2015,12,85m²~102m²,21492.899999999998
서울,2015,12,102m²~,21618.3
인천,2015,12,모든면적,10507.199999999999
인천,2015,12,60m²,10982.4
인천,2015,12,60m²~85m²,10292.699999999999
인천,2015,12,85m²~102m²,11698.5
인천,2015,12,102m²~,11246.4
경기,2015,12,모든면적,10553.4
경기,2015,12,60m²,10866.9
경기,2015,12,60m²~85m²,10936.199999999999
경기,2015,12,85m²~102m²,11381.699999999999
경기,2015,12,102m²~,12705.0
부산,2015,12,모든면적,10319.099999999999
부산,2015,12,60m²,9738.3
부산,2015,12,60m²~85m²,10005.6
부산,2015,12,85m²~102m²,9758.1
부산,2015,12,102m²~,12338.699999999999
대구,2015,12,모든면적,9774.6
대구,2015,12,60m²,10830.599999999999
대구,2015,12,60m²~85m²,9804.3
대구,2015,12,85m²~102m²,8355.6
대구,2015,12,102m²~,9051.9
광주,2015,12,모든면적,8170.799999999999
광주,2015,12,60m²,7903.5
광주,2015,12,60m²~85m²,8213.699999999999
광주,2015,12,85m²~102m²,
광주,2015,12,102m²~,
대전,2015,12,모든면적,8098.2
대전,2015,12,60m²,8530.5
대전,2015,12,60m²~85m²,8012.4
대전,2015,12,85m²~102m²,8121.299999999999
대전,2015,12,102m²~,
울산,2015,12,모든면적,10041.9
울산,2015,12,60m²,8527.199999999999
울산,2015,12,60m²~85m²,10058.4
울산,2015,12,85m²~102m²,8787.9
울산,2015,12,102m²~,9484.199999999999
세종,2015,12,모든면적,8794.5
세종,2015,12,60m²,8583.3
세종,2015,12,60m²~85m²,8830.8
세종,2015,12,85m²~102m²,8781.3
세종,2015,12,102m²~,9081.6
강원,2015,12,모든면적,7164.299999999999
강원,2015,12,60m²,7563.599999999999
강원,2015,12,60m²~85m²,7236.9
강원,2015,12,85m²~102m²,6801.299999999999
강원,2015,12,102m²~,7164.299999999999
충북,2015,12,모든면적,6616.5
충북,2015,12,60m²,6405.299999999999
충북,2015,12,60m²~85m²,6656.099999999999
충북,2015,12,85m²~102m²,7510.799999999999
충북,2015,12,102m²~,7461.299999999999
충남,2015,12,모든면적,7487.7
충남,2015,12,60m²,8045.4
충남,2015,12,60m²~85m²,7520.7
충남,2015,12,85m²~102m²,8325.9
충남,2015,12,102m²~,8065.2
전북,2015,12,모든면적,6543.9
전북,2015,12,60m²,6352.5
전북,2015,12,60m²~85m²,6557.099999999999
전북,2015,12,85m²~102m²,7844.099999999999
전북,2015,12,102m²~,7530.599999999999
전남,2015,12,모든면적,6299.7
전남,2015,12,60m²,6596.7
전남,2015,12,60m²~85m²,6289.799999999999
전남,2015,12,85m²~102m²,7464.599999999999
전남,2015,12,102m²~,7180.799999999999
경북,2015,12,모든면적,7197.299999999999
경북,2015,12,60m²,7187.4
경북,2015,12,60m²~85m²,7207.2
경북,2015,12,85m²~102m²,8302.8
경북,2015,12,102m²~,7821.0
경남,2015,12,모든면적,7613.099999999999
경남,2015,12,60m²,7524.0
경남,2015,12,60m²~85m²,7685.7
경남,2015,12,85m²~102m²,9682.199999999999
경남,2015,12,102m²~,9962.699999999999
제주,2015,12,모든면적,7484.4
제주,2015,12,60m²,
제주,2015,12,60m²~85m²,7458.0
제주,2015,12,85m²~102m²,8523.9
제주,2015,12,102m²~,8494.199999999999
서울,2016,1,모든면적,20156.399999999998
서울,2016,1,60m²,21209.1
서울,2016,1,60m²~85m²,19918.8
서울,2016,1,85m²~102m²,21492.899999999998
서울,2016,1,102m²~,21618.3
인천,2016,1,모든면적,10530.3
인천,2016,1,60m²,10982.4
인천,2016,1,60m²~85m²,10263.0
인천,2016,1,85m²~102m²,11698.5
인천,2016,1,102m²~,11246.4
경기,2016,1,모든면적,10553.4
경기,2016,1,60m²,10866.9
경기,2016,1,60m²~85m²,10932.9
경기,2016,1,85m²~102m²,11385.0
경기,2016,1,102m²~,12705.0
부산,2016,1,모든면적,10401.599999999999
부산,2016,1,60m²,9738.3
부산,2016,1,60m²~85m²,10088.1
부산,2016,1,85m²~102m²,9758.1
부산,2016,1,102m²~,12579.599999999999
대구,2016,1,모든면적,10183.8
대구,2016,1,60m²,11025.3
대구,2016,1,60m²~85m²,10239.9
대구,2016,1,85m²~102m²,8355.6
대구,2016,1,102m²~,9051.9
광주,2016,1,모든면적,8477.699999999999
광주,2016,1,60m²,7903.5
광주,2016,1,60m²~85m²,8520.6
광주,2016,1,85m²~102m²,
광주,2016,1,102m²~,
대전,2016,1,모든면적,8098.2
대전,2016,1,60m²,8530.5
대전,2016,1,60m²~85m²,8012.4
대전,2016,1,85m²~102m²,8121.299999999999
대전,2016,1,102m²~,
울산,2016,1,모든면적,10051.8
울산,2016,1,60m²,8527.199999999999
울산,2016,1,60m²~85m²,10074.9
울산,2016,1,85m²~102m²,8787.9
울산,2016,1,102m²~,9484.199999999999
세종,2016,1,모든면적,8794.5
세종,2016,1,60m²,8583.3
세종,2016,1,60m²~85m²,8830.8
세종,2016,1,85m²~102m²,8781.3
세종,2016,1,102m²~,9081.6
강원,2016,1,모든면적,7170.9
강원,2016,1,60m²,7557.0
강원,2016,1,60m²~85m²,7256.7
강원,2016,1,85m²~102m²,6801.299999999999
강원,2016,1,102m²~,7164.299999999999
충북,2016,1,모든면적,6626.4
충북,2016,1,60m²,6441.599999999999
충북,2016,1,60m²~85m²,6669.299999999999
충북,2016,1,85m²~102m²,7510.799999999999
충북,2016,1,102m²~,7461.299999999999
충남,2016,1,모든면적,7491.0
충남,2016,1,60m²,8187.299999999999
